time_s,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m
2.293400000000504591e+01,-3.497942151741676442e-01,-7.498556034672878567e-01,4.000260439834929516e-01,-1.124069299461946669e-03,-5.000369867406303515e-01,2.803016144207109983e-01
2.293500000000504713e+01,-3.497944254886047322e-01,-7.498557039859795603e-01,4.000260454585374270e-01,-1.124048497726903850e-03,-5.000369970320924784e-01,2.803015653828000442e-01
2.293600000000504835e+01,-3.497946355391428619e-01,-7.498558044310393855e-01,4.000260469046779677e-01,-1.124028248128600138e-03,-5.000370070768964670e-01,2.803015153319547981e-01
2.293700000000504957e+01,-3.497948453261428003e-01,-7.498559048025206231e-01,4.000260483219789109e-01,-1.124007939404737810e-03,-5.000370170561473371e-01,2.803014655537954813e-01
2.293800000000505079e+01,-3.497950548499660917e-01,-7.498560051004763416e-01,4.000260497105038171e-01,-1.123987570941578640e-03,-5.000370269730312067e-01,2.803014160476801075e-01
2.293900000000505202e+01,-3.497952641109731697e-01,-7.498561053249596098e-01,4.000260510703169126e-01,-1.123967142161889921e-03,-5.000370368305447899e-01,2.803013668130048819e-01
2.294000000000505324e+01,-3.497954731095234138e-01,-7.498562054760233853e-01,4.000260524014815910e-01,-1.123946652524819567e-03,-5.000370466315077200e-01,2.803013178492010371e-01
2.294100000000505446e+01,-3.497956818459763695e-01,-7.498563055537207367e-01,4.000260537040617459e-01,-1.123926749754346199e-03,-5.000370562744778091e-01,2.803012679430208487e-01
2.294200000000505568e+01,-3.497958903206910275e-01,-7.498564055581047327e-01,4.000260549781207153e-01,-1.123906783023528866e-03,-5.000370658663580992e-01,2.803012183100814791e-01
2.294300000000505690e+01,-3.497960985340258233e-01,-7.498565054892286641e-01,4.000260562237218376e-01,-1.123886752018361801e-03,-5.000370754094812797e-01,2.803011689496621717e-01
2.294400000000505813e+01,-3.497963064863383043e-01,-7.498566053471449333e-01,4.000260574409286174e-01,-1.123866656444795498e-03,-5.000370849060417067e-01,2.803011198610851351e-01
2.294500000000505935e+01,-3.497965141779861842e-01,-7.498567051319068311e-01,4.000260586298039489e-01,-1.123846496026779940e-03,-5.000370943581049499e-01,2.803010710437113251e-01
2.294600000000506057e+01,-3.497967216093256226e-01,-7.498568048435666489e-01,4.000260597904112814e-01,-1.123826912660018384e-03,-5.000371036692603521e-01,2.803010212862052097e-01
2.294700000000506179e+01,-3.497969287807136118e-01,-7.498569044821781215e-01,4.000260609228131203e-01,-1.123807261850150174e-03,-5.000371129399838743e-01,2.803009718021413077e-01
2.294800000000506301e+01,-3.497971356925055897e-01,-7.498570040477930965e-01,4.000260620270728040e-01,-1.123787543502396957e-03,-5.000371221719817072e-01,2.803009225907414637e-01
2.294900000000506424e+01,-3.497973423450568831e-01,-7.498571035404647533e-01,4.000260631032526160e-01,-1.123767757528169875e-03,-5.000371313668601214e-01,2.803008736512738741e-01
2.295000000000506546e+01,-3.497975487387226523e-01,-7.498572029602462719e-01,4.000260641514152282e-01,-1.123747903844771190e-03,-5.000371405261310187e-01,2.803008249830505894e-01
2.295100000000506668e+01,-3.497977548738568920e-01,-7.498573023071896104e-01,4.000260651716235349e-01,-1.123728618849392791e-03,-5.000371495573845415e-01,2.803007753767045029e-01
2.295200000000506790e+01,-3.497979607508135969e-01,-7.498574015813475047e-01,4.000260661639396531e-01,-1.123709263918033774e-03,-5.000371585560707821e-01,2.803007260437455628e-01
2.295300000000506913e+01,-3.497981663699455956e-01,-7.498575007827734673e-01,4.000260671284255332e-01,-1.123689839114191957e-03,-5.000371675234368540e-01,2.803006769833547573e-01
2.295400000000507035e+01,-3.497983717316062724e-01,-7.498575999115193458e-01,4.000260680651440137e-01,-1.123670344499352880e-03,-5.000371764606574843e-01,2.803006281947625911e-01
2.295500000000507157e+01,-3.497985768361476788e-01,-7.498576989676374316e-01,4.000260689741567122e-01,-1.123650780131206506e-03,-5.000371853688380108e-01,2.803005796772448655e-01
2.295600000000507279e+01,-3.497987816839213671e-01,-7.498577979511807934e-01,4.000260698555257455e-01,-1.123631777173825230e-03,-5.000371941588070968e-01,2.803005302234522489e-01
2.295700000000507401e+01,-3.497989862752790002e-01,-7.498578968622022778e-01,4.000260707093130086e-01,-1.123612702509782513e-03,-5.000372029220238046e-01,2.803004810428069704e-01
2.295800000000507524e+01,-3.497991906105709092e-01,-7.498579957007528440e-01,4.000260715355801189e-01,-1.123593556319364695e-03,-5.000372116593987393e-01,2.803004321344615968e-01
2.295900000000507646e+01,-3.497993946901479800e-01,-7.498580944668867820e-01,4.000260723343889158e-01,-1.123574338772075076e-03,-5.000372203717896591e-01,2.803003834976187658e-01
2.296000000000507768e+01,-3.497995985143595998e-01,-7.498581931606554951e-01,4.000260731058007391e-01,-1.123555050027702507e-03,-5.000372290600044733e-01,2.803003351315292990e-01
2.296100000000507890e+01,-3.497998020835553223e-01,-7.498582917821111637e-01,4.000260738498769841e-01,-1.123536316223659737e-03,-5.000372376375429306e-01,2.803002858308992762e-01
2.296200000000508012e+01,-3.498000053980838131e-01,-7.498583903313069676e-01,4.000260745666794349e-01,-1.123517509472676812e-03,-5.000372461926395617e-01,2.803002368030439451e-01
2.296300000000508135e+01,-3.498002084582931270e-01,-7.498584888082948652e-01,4.000260752562684319e-01,-1.123498630037640666e-03,-5.000372547259577249e-01,2.803001880470954443e-01
2.296400000000508257e+01,-3.498004112645314301e-01,-7.498585872131262597e-01,4.000260759187057591e-01,-1.123479678167123297e-03,-5.000372632381239191e-01,2.803001395622371494e-01
2.296500000000508379e+01,-3.498006138171462776e-01,-7.498586855458547751e-01,4.000260765540523122e-01,-1.123460654094250721e-03,-5.000372717297266734e-01,2.803000913477018963e-01
2.296600000000508501e+01,-3.498008161164843366e-01,-7.498587838065315925e-01,4.000260771623689315e-01,-1.123442179095782145e-03,-5.000372801165156034e-01,2.803000422002816516e-01
2.296700000000508624e+01,-3.498010181628912751e-01,-7.498588819952092255e-01,4.000260777437160131e-01,-1.123423630296500886e-03,-5.000372884840688092e-01,2.802999933251677511e-01
2.296800000000508746e+01,-3.498012199567135383e-01,-7.498589801119399656e-01,4.000260782981546193e-01,-1.123405008019072449e-03,-5.000372968328694601e-01,2.802999447214777895e-01
2.296900000000508868e+01,-3.498014214982964054e-01,-7.498590781567759933e-01,4.000260788257453126e-01,-1.123386312568523671e-03,-5.000373051633726362e-01,2.802998963883823191e-01
2.297000000000508990e+01,-3.498016227879850448e-01,-7.498591761297690450e-01,4.000260793265484338e-01,-1.123367544231576587e-03,-5.000373134760086602e-01,2.802998483251011863e-01
2.297100000000509112e+01,-3.498018238261232371e-01,-7.498592740309710791e-01,4.000260798006243235e-01,-1.123349319566521731e-03,-5.000373216884576033e-01,2.802997993305400559e-01
2.297200000000509235e+01,-3.498020246130552069e-01,-7.498593718604342762e-01,4.000260802480334887e-01,-1.123331020528778312e-03,-5.000373298840663505e-01,2.802997506077482548e-01
2.297300000000509357e+01,-3.498022251491243462e-01,-7.498594696182108166e-01,4.000260806688357151e-01,-1.123312647484955851e-03,-5.000373380631865095e-01,2.802997021558339963e-01
2.297400000000509479e+01,-3.498024254346737694e-01,-7.498595673043526588e-01,4.000260810630912323e-01,-1.123294200780007579e-03,-5.000373462261475943e-01,2.802996539739580073e-01
2.297500000000509601e+01,-3.498026254700455917e-01,-7.498596649189112062e-01,4.000260814308597146e-01,-1.123275680738985982e-03,-5.000373543732632431e-01,2.802996060613311968e-01
2.297600000000509723e+01,-3.498028252555817064e-01,-7.498597624619385282e-01,4.000260817722012252e-01,-1.123257699316558555e-03,-5.000373624239056181e-01,2.802995572189949658e-01
2.297700000000509846e+01,-3.498030247916237290e-01,-7.498598599334869164e-01,4.000260820871755496e-01,-1.123239643156442868e-03,-5.000373704595095781e-01,2.802995086478426434e-01
2.297800000000509968e+01,-3.498032240785122760e-01,-7.498599573336073298e-01,4.000260823758421957e-01,-1.123221512656154275e-03,-5.000373784803281429e-01,2.802994603469747825e-01
2.297900000000510090e+01,-3.498034231165888519e-01,-7.498600546623526153e-01,4.000260826382602830e-01,-1.123203308189102412e-03,-5.000373864866015650e-01,2.802994123155465034e-01
2.298000000000510212e+01,-3.498036219061922969e-01,-7.498601519197736209e-01,4.000260828744898189e-01,-1.123185030107262672e-03,-5.000373944785552194e-01,2.802993645527622202e-01
2.298100000000510335e+01,-3.498038204476625057e-01,-7.498602491059225272e-01,4.000260830845898674e-01,-1.123167285863709008e-03,-5.000374023770742804e-01,2.802993158618187763e-01
2.298200000000510457e+01,-3.498040187413389845e-01,-7.498603462208508486e-01,4.000260832686196588e-01,-1.123149466668214858e-03,-5.000374102619190575e-01,2.802992674414382379e-01
2.298300000000510579e+01,-3.498042167875596853e-01,-7.498604432646103213e-01,4.000260834266379795e-01,-1.123131572939729816e-03,-5.000374181332716272e-01,2.802992192907171609e-01
2.298400000000510701e+01,-3.498044145866630594e-01,-7.498605402372523487e-01,4.000260835587040598e-01,-1.123113605072230403e-03,-5.000374259913047403e-01,2.802991714088059472e-01
2.298500000000510823e+01,-3.498046121389863927e-01,-7.498606371388288894e-01,4.000260836648770746e-01,-1.123095563436406208e-03,-5.000374338361824877e-01,2.802991237949054026e-01
2.298600000000510946e+01,-3.498048094448669154e-01,-7.498607339693909024e-01,4.000260837452151441e-01,-1.123078051074338779e-03,-5.000374415901602809e-01,2.802990752543855768e-01
2.298700000000511068e+01,-3.498050065046415247e-01,-7.498608307289904573e-01,4.000260837997774988e-01,-1.123060463656476438e-03,-5.000374493315071778e-01,2.802990269837830617e-01
2.298800000000511190e+01,-3.498052033186462850e-01,-7.498609274176787354e-01,4.000260838286224807e-01,-1.123042801616250252e-03,-5.000374570603535185e-01,2.802989789821913602e-01
2.298900000000511312e+01,-3.498053998872169834e-01,-7.498610240355078060e-01,4.000260838318083212e-01,-1.123025065361826780e-03,-5.000374647768233149e-01,2.802989312487585427e-01
2.299000000000511434e+01,-3.498055962106880190e-01,-7.498611205825278514e-01,4.000260838093936955e-01,-1.123007255276989302e-03,-5.000374724810341398e-01,2.802988837826834168e-01
2.299100000000511557e+01,-3.498057922893949012e-01,-7.498612170587911629e-01,4.000260837614369458e-01,-1.122989970068703769e-03,-5.000374800965046163e-01,2.802988353915222275e-01
2.299200000000511679e+01,-3.498059881236721402e-01,-7.498613134643488110e-01,4.000260836879960258e-01,-1.122972609781197617e-03,-5.000374877001521057e-01,2.802987872696151572e-01
2.299300000000511801e+01,-3.498061837138528585e-01,-7.498614097992525318e-01,4.000260835891291111e-01,-1.122955174857352689e-03,-5.000374952920692007e-01,2.802987394160547652e-01
2.299400000000511923e+01,-3.498063790602705669e-01,-7.498615060635529517e-01,4.000260834648938224e-01,-1.122937665714869582e-03,-5.000375028723437199e-01,2.802986918299869568e-01
2.299500000000512046e+01,-3.498065741632585546e-01,-7.498616022573018070e-01,4.000260833153483908e-01,-1.122920082745983150e-03,-5.000375104410600402e-01,2.802986445106095958e-01
2.299600000000512168e+01,-3.498067690231485560e-01,-7.498616983805499459e-01,4.000260831405502704e-01,-1.122903020400314866e-03,-5.000375179229133993e-01,2.802985962676812770e-01
2.299700000000512290e+01,-3.498069636402726945e-01,-7.498617944333486607e-01,4.000260829405575258e-01,-1.122885883009704100e-03,-5.000375253935793740e-01,2.802985482933322836e-01
2.299800000000512412e+01,-3.498071580149624271e-01,-7.498618904157496878e-01,4.000260827154270560e-01,-1.122868671023694032e-03,-5.000375328531214691e-01,2.802985005866535650e-01
2.299900000000512534e+01,-3.498073521475486558e-01,-7.498619863278036535e-01,4.000260824652167591e-01,-1.122851384866299651e-03,-5.000375403016019682e-01,2.802984531467916374e-01
2.300000000000512657e+01,-3.498075460383618940e-01,-7.498620821695614058e-01,4.000260821899839225e-01,-1.122834024934800390e-03,-5.000375477390808232e-01,2.802984059729431432e-01
2.300100000000512779e+01,-3.498077396877323220e-01,-7.498621779410740151e-01,4.000260818897858894e-01,-1.122817181489703386e-03,-5.000375550913621625e-01,2.802983578770819606e-01
